feedback_id,customer_id,date,feedback_text,source
F000001,C0001,2026-03-23,The dashboard is very useful.,Review
F000002,C0002,2026-03-10,The dashboard is very useful.,In-app
F000003,C0002,2026-03-15,The dashboard is very useful.,In-app
F000004,C0003,2026-03-15,Our integration is not working properly.,Support
F000005,C0003,2026-04-07,Our team has had a good experience.,Survey
F000006,C0003,2026-01-25,The experience has become frustrating.,Support
F000007,C0004,2026-04-05,The integration setup is confusing.,Interview
F000008,C0004,2026-04-05,The product has improved our workflow.,In-app
F000009,C0004,2026-04-21,Our integration is not working properly.,Survey
F000010,C0004,2026-04-05,The product has improved our workflow.,Survey
F000011,C0005,2026-04-23,The product has improved our workflow.,Survey
F000012,C0006,2026-03-20,We are having too many problems.,Interview
F000013,C0006,2026-04-21,We need a more reliable integration.,Interview
F000014,C0006,2026-02-26,The product is easy to use.,Survey
F000015,C0007,2026-01-29,Our team has had a good experience.,Review
F000016,C0007,2026-02-13,The dashboard is very useful.,Review
F000017,C0007,2026-03-09,The dashboard is very useful.,Review
F000018,C0007,2026-03-02,Our team has had a good experience.,In-app
F000019,C0008,2026-02-15,We are having too many problems.,Interview
F000020,C0009,2026-04-05,The product has been difficult to use recently.,Support
F000021,C0009,2026-04-08,We need a more reliable integration.,Support
F000022,C0010,2026-01-28,Our team has had a good experience.,In-app
F000023,C0010,2026-04-05,Our team has had a good experience.,In-app
F000024,C0010,2026-03-25,The integration setup is confusing.,Interview
F000025,C0011,2026-04-07,The dashboard is very useful.,Review
F000026,C0011,2026-03-28,The dashboard is very useful.,Review
F000027,C0011,2026-03-28,The product is easy to use.,In-app
F000028,C0011,2026-03-28,The experience has become frustrating.,Support
F000029,C0012,2026-04-05,The product has improved our workflow.,In-app
F000030,C0012,2026-04-05,The product has improved our workflow.,In-app
F000031,C0012,2026-04-14,We need a more reliable integration.,Interview
F000032,C0012,2026-04-05,We need a more reliable integration.,Support
F000033,C0013,2026-04-25,We need a more reliable integration.,Interview
F000034,C0014,2026-03-11,The product is easy to use.,In-app
F000035,C0014,2026-04-11,The product has been difficult to use recently.,Interview
F000036,C0014,2026-04-05,The dashboard is very useful.,Review
F000037,C0015,2026-03-09,The product is easy to use.,Survey
F000038,C0016,2026-04-16,We need a more reliable integration.,Interview
F000039,C0016,2026-03-17,We are having too many problems.,Interview
F000040,C0016,2026-04-05,The product has improved our workflow.,Survey
F000041,C0017,2026-02-24,The product is easy to use.,Survey
F000042,C0018,2026-01-20,The product is easy to use.,Survey
F000043,C0019,2026-02-02,We are considering other options.,Support
F000044,C0020,2026-04-12,The dashboard is very useful.,Survey
F000045,C0020,2026-03-04,The dashboard is very useful.,In-app
F000046,C0021,2026-04-21,The product has improved our workflow.,Review
F000047,C0021,2026-04-21,The product has improved our workflow.,Survey
F000048,C0021,2026-04-05,The product has improved our workflow.,Review
F000049,C0021,2026-03-10,The dashboard is very useful.,In-app
F000050,C0022,2026-03-01,The experience has become frustrating.,Support
F000051,C0022,2026-04-26,We are having too many problems.,Support
F000052,C0023,2026-03-06,The dashboard is very useful.,Survey
F000053,C0023,2026-04-12,We are having too many problems.,Survey
F000054,C0023,2026-03-06,The product has improved our workflow.,In-app
F000055,C0023,2026-03-06,We need a more reliable integration.,Survey
F000056,C0024,2026-03-19,The product has improved our workflow.,Survey
F000057,C0024,2026-03-19,Our team has had a good experience.,In-app
F000058,C0024,2026-03-19,We are considering other options.,Interview
F000059,C0024,2026-04-14,Our integration is not working properly.,Survey
F000060,C0025,2026-03-19,The product is easy to use.,In-app
F000061,C0026,2026-04-12,The integration setup is confusing.,Interview
F000062,C0026,2026-03-27,The product has improved our workflow.,In-app
F000063,C0026,2026-03-13,The product has improved our workflow.,In-app
F000064,C0026,2026-04-17,We need a more reliable integration.,Interview
F000065,C0027,2026-01-26,The product has improved our workflow.,In-app
F000066,C0027,2026-03-01,Our integration is not working properly.,Support
F000067,C0027,2026-01-26,The product is easy to use.,Survey
F000068,C0028,2026-04-02,The experience has become frustrating.,Support
F000069,C0028,2026-04-02,Our team has had a good experience.,Review
F000070,C0028,2026-04-02,Our integration is not working properly.,Survey
F000071,C0028,2026-04-13,Our team has had a good experience.,Survey
F000072,C0029,2026-03-25,The dashboard is very useful.,Review
F000073,C0029,2026-03-25,The product has improved our workflow.,Review
F000074,C0030,2026-04-23,We are having too many problems.,Interview
F000075,C0031,2026-03-11,The product has improved our workflow.,In-app
F000076,C0031,2026-03-21,The product has improved our workflow.,Review
F000077,C0031,2026-03-11,The product has improved our workflow.,Survey
F000078,C0031,2026-03-28,The product has improved our workflow.,Review
F000079,C0032,2026-02-23,The product is easy to use.,In-app
F000080,C0032,2026-02-23,Our team has had a good experience.,In-app
F000081,C0032,2026-03-11,The product has improved our workflow.,Survey
F000082,C0032,2026-02-23,The product is easy to use.,Survey
F000083,C0033,2026-03-02,The integration keeps causing problems.,Survey
F000084,C0033,2026-03-16,The product is easy to use.,Survey
F000085,C0034,2026-02-27,Our team has had a good experience.,Review
F000086,C0034,2026-03-21,The experience has become frustrating.,Support
F000087,C0034,2026-02-27,The dashboard is very useful.,Survey
F000088,C0034,2026-03-16,Our team has had a good experience.,Review
F000089,C0035,2026-04-17,We are having too many problems.,Interview
F000090,C0035,2026-03-17,The product has improved our workflow.,Review
F000091,C0036,2026-02-23,We are having too many problems.,Survey
F000092,C0036,2026-02-05,The product has been difficult to use recently.,Support
F000093,C0037,2026-04-14,The product has improved our workflow.,Survey
F000094,C0037,2026-04-14,The experience has become frustrating.,Interview
F000095,C0038,2026-04-22,The product is easy to use.,Survey
F000096,C0038,2026-04-22,The dashboard is very useful.,In-app
F000097,C0038,2026-04-22,Our integration is not working properly.,Interview
F000098,C0039,2026-02-09,The product has improved our workflow.,Review
F000099,C0040,2026-04-08,The product is easy to use.,In-app
